Country,Status,Process,Age Group,Sex,POC
Other Nationalities,ASR,A,18 - 59 years,Male,3
Other Nationalities,REF,A,0 - 4 years,Male,1
Other Nationalities,REF,A,18 - 59 years,Female,1
Other Nationalities,REF,A,18 - 59 years,Male,1
Other Nationalities,ASR,A,0 - 4 years,Female,1
Other Nationalities,ASR,A,12 - 17 years,Female,3
Other Nationalities,ASR,A,18 - 59 years,Female,6
Other Nationalities,ASR,A,18 - 59 years,Male,7
Other Nationalities,ASR,A,5 - 11 years,Female,1
Other Nationalities,ASR,A,5 - 11 years,Male,3
Other Nationalities,ASR,A,5 - 11 years,Female,1
Other Nationalities,ASR,A,18 - 59 years,Female,1
Other Nationalities,ASR,A,18 - 59 years,Female,1
Other Nationalities,ASR,A,18 - 59 years,Male,154
Other Nationalities,ASR,A,5 - 11 years,Male,1
Other Nationalities,REF,A,18 - 59 years,Male,1
Other Nationalities,ASR,A,18 - 59 years,Female,2
Other Nationalities,ASR,A,18 - 59 years,Male,1
Other Nationalities,REF,A,18 - 59 years,Female,1
Other Nationalities,REF,A,18 - 59 years,Male,1
Other Nationalities,ASR,A,0 - 4 years,Female,1
Other Nationalities,ASR,A,18 - 59 years,Female,1
Other Nationalities,ASR,A,18 - 59 years,Male,13
Other Nationalities,ASR,A,5 - 11 years,Male,1
Other Nationalities,REF,A,18 - 59 years,Male,1
Other Nationalities,ASR,A,18 - 59 years,Male,5
Other Nationalities,ASR,A,18 - 59 years,Female,2
Other Nationalities,ASR,A,18 - 59 years,Male,4
Other Nationalities,ASR,A,5 - 11 years,Female,1
Other Nationalities,REF,A,12 - 17 years,Male,1
Other Nationalities,REF,A,18 - 59 years,Female,4
Other Nationalities,REF,A,18 - 59 years,Male,9
Other Nationalities,REF,A,5 - 11 years,Female,1
Afghanistan,ASR,A,0 - 4 years,Female,4582
Afghanistan,ASR,A,0 - 4 years,Male,4886
Afghanistan,ASR,A,12 - 17 years,Female,4607
Afghanistan,ASR,A,12 - 17 years,Male,6952
Afghanistan,ASR,A,18 - 59 years,Female,22155
Afghanistan,ASR,A,18 - 59 years,Male,73058
Afghanistan,ASR,A,5 - 11 years,Female,7731
Afghanistan,ASR,A,5 - 11 years,Male,8885
Afghanistan,ASR,A,60+ years,Female,746
Afghanistan,ASR,A,60+ years,Male,947
Afghanistan,ASR,H,12 - 17 years,Female,1
Afghanistan,ASR,H,12 - 17 years,Male,1
Afghanistan,ASR,H,18 - 59 years,Female,1
Afghanistan,ASR,H,18 - 59 years,Male,2
Afghanistan,ASR,H,60+ years,Female,1
Afghanistan,REF,A,0 - 4 years,Female,176
Afghanistan,REF,A,0 - 4 years,Male,158
Afghanistan,REF,A,12 - 17 years,Female,342
Afghanistan,REF,A,12 - 17 years,Male,399
Afghanistan,REF,A,18 - 59 years,Female,1186
Afghanistan,REF,A,18 - 59 years,Male,1176
Afghanistan,REF,A,5 - 11 years,Female,339
Afghanistan,REF,A,5 - 11 years,Male,369
Afghanistan,REF,A,60+ years,Female,51
Afghanistan,REF,A,60+ years,Male,73
Afghanistan,REF,H,12 - 17 years,Female,1
Afghanistan,REF,H,12 - 17 years,Male,2
Afghanistan,REF,H,18 - 59 years,Female,6
Afghanistan,REF,H,18 - 59 years,Male,6
Afghanistan,REF,H,60+ years,Male,1
"Iran, Islamic Republic of",ASR,A,0 - 4 years,Female,538
"Iran, Islamic Republic of",ASR,A,0 - 4 years,Male,630
"Iran, Islamic Republic of",ASR,A,12 - 17 years,Female,607
"Iran, Islamic Republic of",ASR,A,12 - 17 years,Male,765
"Iran, Islamic Republic of",ASR,A,18 - 59 years,Female,7376
"Iran, Islamic Republic of",ASR,A,18 - 59 years,Male,12959
"Iran, Islamic Republic of",ASR,A,5 - 11 years,Female,1016
"Iran, Islamic Republic of",ASR,A,5 - 11 years,Male,1122
"Iran, Islamic Republic of",ASR,A,60+ years,Female,160
"Iran, Islamic Republic of",ASR,A,60+ years,Male,142
"Iran, Islamic Republic of",ASR,H,12 - 17 years,Female,2
"Iran, Islamic Republic of",ASR,H,12 - 17 years,Male,1
"Iran, Islamic Republic of",ASR,H,18 - 59 years,Female,12
"Iran, Islamic Republic of",ASR,H,18 - 59 years,Male,14
"Iran, Islamic Republic of",ASR,H,5 - 11 years,Female,2
"Iran, Islamic Republic of",ASR,H,5 - 11 years,Male,3
"Iran, Islamic Republic of",REF,A,0 - 4 years,Female,161
"Iran, Islamic Republic of",REF,A,0 - 4 years,Male,143
"Iran, Islamic Republic of",REF,A,12 - 17 years,Female,232
